title,authors,subjects
Alice's Adventures in Wonderland,Lewis Carroll,"JUVENILE FICTION,classics,Fantasy & Magic,Imagination & Play,adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,british and irish fiction (fictional works by one author),child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,coloring books,croquet,cuentos infantiles ingleses,curiosidad,curiosidad en los niños,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy fiction,fantasy in fiction,fantasy  magic,fantasía,ficción juvenil,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,juvenile literature,legends,literary nonsense,logic,lugares imaginarios,mythical animals,niñas,nonsense verses,novela,novela fantástica,novela juvenil,open library staff picks,picture books,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Alice (Fictitious character : Carroll),Alice (fictitious character : carroll), fiction,Fiction, fantasy, general,English language, textbooks for foreign speakers,Fantastique,Enfants,Affirmation de soi,Spanish language materials,Alicia (Personaje literario : Carroll),Spanish language,nyt:chapter-books=2010-02-21,New York Times bestseller,Literatura infanto-juvenil,Literatura inglesa,Carroll, lewis, 1832-1898,Children's literature, history and criticism,Children, books and reading,Crocheting,Fiction, general,Fantasy fiction, history and criticism,Toy and movable books,Imagination,Textbooks for foreign speakers,Readers for new literates,High interest-low vocabulary books,Science fiction,CUENTO INFANTIL INGLES,Accessible book"
Avventure di Pinocchio,Carlo Collodi,"Accessible book,Fantasy,Puppets,Fiction,Fairy tales,Children's stories, Italian,Latin language,Readers,dormice,ringmasters,glowworrms,weasels,hanging,falcons,poodles,stagecoaches,owls,crows,funeral directors,rabbits,carpenters,Carabinieri,blackbirds,Classic Literature,Folklore,Illustrations,Italian language,Juvenile fiction,Juvenile literature,Puppet plays,boy,fairy tale,puppet,Ficción,Cuentos de hadas,Títeres,Children: Grades 1-2,Children's fiction,Adventure and adventurers, fiction,Pinocchio (fictitious character), fiction,Puppets, fiction,Fiction, fantasy, general,Italy, fiction,Contes,Pinocchio (Fictitious character),Specimens,Toy and movable books,Fairy tales.,Puppets -- Fiction.,Tong hua,General,Children's stories,Spanish language materials,Marionetas,Marionettes,Materiales en español,Honradez,Ficción juvenil,Verdad y mentira,Truthfulness and falsehood,Honesty,Padre e hijos,Fathers and sons,Titeres,Novela,Literatura infantil,Audio: Juvenile,Child and youth fiction,Pictorial works,Novela juvenil,Spanish language books,Spanish language,Children's literature,Italian,England, fiction,Fathers and daughters, fiction,Fiction, humorous, general,British and irish fiction (fictional works by one author),Friendship, fiction,Young women, fiction,Picture books,Italian language materials"
The Night Before Christmas,Nan Pollard,"Santa in juvenile prison,Juvenile poetry,Poetry,Santa Claus,Christmas,Christmas poetry,American poetry,Narrative poetry,Children's poetry, American,American Narrative poetry,Glow-in-the-dark books,Specimens,Christmas, poetry,Children's poetry,Santa claus, poetry,Poetry, juvenile,Children's fiction,Christmas, fiction,Picture books,Toy and movable books,Miniature books,Picture puzzles,American Manuscripts,Manuscripts,Facsimiles,Sound effects books,New York Times bestseller,nyt:picture_books=2011-04-16,JUVENILE FICTION / Holidays & Celebrations / Christmas & Advent,JUVENILE FICTION / Holidays & Celebrations / General (see also Religious / Christian / Holidays & Celebrations),LEGO toys,JUVENILE FICTION / Stories in Verse,JUVENILE FICTION / Classics,Juvenile literature,Board books,Stories in rhyme,Santa claus, fiction,Pictorial works,Holidays, fiction,JUVENILE FICTION / Religious / Christian / Family,JUVENILE FICTION / Religious / Christian / Holidays & Celebrations,.,Juvenile fiction,Christmas stories,Elmo (Fictitious character : Henson),Scented books,Cats,Fiction,JUVENILE NONFICTION / Poetry / General,Clement C. Moore,Corrine Malvern,Reindeer,Rooftops,Christmas Eve,Calendar,December 25,1822,Fireplace,Toy sack,Toys,Tree,Gifts,Stockings,Spanish language materials,Poesía juvenil,Rabbits,Sign language,Stereograms,Cartoons and comics,Holidays & Celebrations - Christmas & Advent,Children: Grades 1-2,American literature,Accessible book"
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,"adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,british and irish fiction (fictional works by one author),child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,classics,croquet,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy & magic,fantasy fiction,fantasy in fiction,fantasy  magic,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,imagination & play,juvenile fiction,juvenile literature,legends,literary nonsense,logic,mythical animals,nonsense verses,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Specimens,Textual Criticism,Criticism and interpretation,Open Library Staff Picks,Ficción juvenil,Novela fantástica,Portuguese language materials,Fantasía,History,History and criticism,CHR 1960,PRO Tehon, Susan (donor),Alice (Fictitious character : Carroll),PRO Tehon, Atha (former owner) (Tehon Collection copy),Littérature anglaise,18.05 English literature,Alice (fictitious character : carroll), fiction,Fiction, fantasy, general,Fiction in English,Carroll, lewis, 1832-1898,Large type books,Translations into French,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Classics,JUVENILE FICTION / Fairy Tales & Folklore / Adaptations,English fiction (collections), 20th century,Rabbits, fiction,English fiction,Picture books,Alice (Fictitious character),Accessible book,Condensed books,Through the looking glass,Alice's adventures in Wonderland (Carroll, Lewis),Through the looking-glass (Carroll, Lewis),Literature,Translations into Polish"
Little Women,Luisa Vardiero,"Families,Sisters,Juvenile fiction,March family (Fictitious characters),Family life,Fiction,Readers,English language, juvenile literature,Japanese language books,Children's fiction,Family life, fiction,Sisters, fiction,New england, fiction,March family (fictitious characters), fiction,Social life and customs,Adaptations,Mothers and daughters,Manners and customs,Children: Grades 4-6,Children,Children's,Kids,Juvenile,American,Classic,Literature,History,Historical,Family,Young women,Mothers,Daughtes,Married women,Orphans,Coming of life,Manners,Customs,Conduct of life,Social life,open_syllabus_project,Mother-daughter relationship,Folklore,Reading Level-Grade 5,Reading Level-Grade 4,Reading Level-Grade 7,Reading Level-Grade 6,Reading Level-Grade 8,American fiction (fictional works by one author),Fiction, family life,Mothers and daughters, fiction,Fiction, coming of age,Young women, fiction,Fiction, biographical,Large type books,Buried treasure,Pirates,Adventure and adventurers,Robin Hood (Legendary character),Legends,English Adventure stories,Jungle animals,Feral children,Jungles,Animals,Short stories,Romans,Jeunes filles,Soeurs,United states, fiction,German,Dictionaries,English language,Spanish,Family, fiction,American literature,Fiction, historical,Fiction, general,American fiction,Juvenile literature,United states, history, civil war, 1861-1865, fiction,Textbooks for foreign speakers,England, fiction,Fiction, family life, general,Hermanas,Novela,Vida familiar,Young adult fiction, historical, united states, civil war period (1850-1877),Young adult fiction, girls & women,Young adult fiction, coming of age,Young adult fiction, classics,Young adult fiction, family, siblings,Brothers and sisters, fiction,Adolescence, fiction,AR 8.6.,Novela estadounidense,Familias,Madre e hijas,Ficción,High interest-low vocabulary books,Readers for new literates,Literatura Norte Americana,Domestic fiction,Bildungsromans,Historical fiction,Picture books,March family (Fictitious character),Meg March (Fictitious character),Beth March (Fictitious character),Jo March (Fictitious character),Amy March (Fictitious character),Junior fiction,Schools,Boarding schools,American Christmas stories,Cuentos navideños americanos,Mujeres jóvenes,Huérfanos,Fiction, christian, collections & anthologies,Young men,Madre e hija,Jóvenes (Mujeres),Američki građanski rat,ljubav,obitelj,odrastanje,growing up,žene,Famille,Juvenile Fiction,Literature, collections,English language, textbooks for foreign speakers,Reading comprehension,Reading (adult education),Accessible book"
Heidi,Johanna Spyri,"Johanna Spyri,Shirley Temple,Movie tie-in,Children,Babies,Toddlers,Grades 3-4,Children's,Kid's,Juvenile,Adult,Fiction,Classic,Literature,Stories,Story,Book,Picture Books,Chapter books,Hardcover,Paperback,Braille,Audio book,e-book,Family,5 Year old,Orphan,Heidi (fictional character),Grandfather,Nature,Love of nature,Goats,Mountain life,Swiss Alps,Swiss (German),History,Invalids,Grandfathers,Juvenile fiction,Orphans,Children's fiction,Grandparents, fiction,Orphans, fiction,Switzerland, fiction,Fiction, general,Girls, fiction,Large type books,Grandparent-grandchild relationship,Juvenile literature,Switzerland,Alps, fiction,Accessible book"
The Very Hungry Caterpillar (Storytime Giants),Esther Rubio Muñoz,"Children's fiction,Caterpillars, fiction,Toy and movable books,Fiction,Caterpillars,German language materials,Italian language materials,Specimens,Translations into Chinese,Chinese language edition,Caterpillar,Translations into Vietnamese,Metamorphosis,Spanish language materials,Children's stories, American,Open Library Staff Picks,Children's stories, English,Butterflies,Juvenile,Juvenile fiction,Board books,Translations into Urdu,Children's stories, Chinese,Libros de juguete y movibles,Muestras,Orugas,Especímenes,Novela juvenil,Libros de juguete y móviles,Butterflies, fiction,Picture books for children,Flowers, fiction,Fiction..,Littérature de jeunesse anglaise,Chenilles,Caterpillers,Papillons,Metamorphis,Ouvrages illustrés,Métamorphose,nyt:picture-books=2009-04-05,New York Times bestseller,Metamorfosis (Biología),Mariposas,Ficción juvenil,Bilingual,Child and youth fiction,Picture books,Accessible book,Protected DAISY"
Tale of Peter Rabbit,Lisa McCue,"Rabbits, fiction,Children's fiction,Senses and sensation, fiction,Adventure and adventurers, fiction,Pictorial works,Juvenile fiction,Rabbits,Children's stories, English,Peter rabbit (fictitious character), fiction,Toy and movable books,Fiction,Specimens,Miniature books,Italian language materials,Peter Rabbit (Fictitious character),Animals,Sound effects books,Juvenile literature,Readers,Spanish language materials,Short stories,Ficción juvenil,Children's stories,French language materials,Welsh language,Conejos,Picture books for children,Brothers and sisters,Gardens,Obedience,Gardens, fiction,Farmers,Board books,Picture books,Pop-up books,JUVENILE FICTION / Animals / Rabbits,JUVENILE FICTION / Classics,JUVENILE FICTION / Nature & the Natural World / Environment,Peter Rabbit (Fictional character),Literature and fiction, juvenile,Accelerated reader,Children's stories, Japanese,Translations from English,Rabbits -- Fiction.,Children's stories, Japanese -- Translations from English.,Children's stories, English.,Accessible book,Protected DAISY"
'Twas the Night before Christmas,Birchall Publishing,"Children's poetry,Santa claus, poetry,Christmas, poetry,Juvenile poetry,Children's poetry, American,Christmas poetry,Santa Claus,Poetry,Christmas,Narrative poetry,American poetry,Children's fiction,Christmas, fiction,Toy and movable books,Board books,Pictorial works,Juvenile fiction,St. Nicholas (Imaginary person),Animals, fiction,Picture books,Navidad,Spanish language materials,Poesía infantil estadounidense,Poesía juvenil,Poesía narrativa,Literatura juvenil,Accessible book"
Where the Wild Things Are,Richard La Fleur,"Caldecott Medal,Dreams,Fantasy,Fantasy fiction,Fiction,Imagination,Juvenile fiction,Miniature books,Monsters,Specimens,Fantasty,Monstruos,Fantasía,Spanish language materials,Novela,open_syllabus_project,Kings and rulers,Conduct of life,Fairy tales,Children,Animals,Temper tantrums,Ficción juvenil,Accelerated Reader 2.9.,Caldecott Medal books,Children's fiction,Monsters, fiction,Picture books,Novela juvenil,Action & Adventure,Classics,People & Places,Hispanic & Latino,Spanish language,Reading materials,French Juvenile fiction,Juvenile fiction, French,Children's stories,German language materials,collectionID:caldecott60,Behavior,Latin language materials,Accessible book,Protected DAISY"
