country_name,year,debt_to_gdp_ratio,growth_rate,population
Japan,2022,237.54%,-0.30%,"125,584,838"
Japan,2021,237.54%,-0.27%,"125,584,838"
Japan,2020,237.54%,-0.30%,"125,584,838"
Japan,2019,237.54%,-0.27%,"125,584,838"
Japan,2018,237.54%,-0.24%,"125,584,838"
Japan,2017,237.54%,-0.20%,"125,584,838"
Japan,2015,237.54%,-0.09%,"125,584,838"
Japan,2010,237.54%,0.03%,"125,584,838"
Japan,2005,237.54%,0.13%,"125,584,838"
Japan,2000,237.54%,0.18%,"125,584,838"
Japan,1995,237.54%,0.30%,"125,584,838"
Japan,1990,237.54%,0.43%,"125,584,838"
Japan,1985,237.54%,0.68%,"125,584,838"
Japan,1980,237.54%,0.94%,"125,584,838"
Japan,1975,237.54%,1.39%,"125,584,838"
Japan,1970,237.54%,1.28%,"125,584,838"
Japan,1965,237.54%,1.00%,"125,584,838"
Japan,1960,237.54%,1.03%,"125,584,838"
Japan,1955,237.54%,1.46%,"125,584,838"
France,2022,99.20%,0.23%,"65,584,518"
France,2021,99.20%,0.23%,"65,584,518"
France,2020,99.20%,0.22%,"65,584,518"
France,2019,99.20%,0.21%,"65,584,518"
France,2018,99.20%,0.23%,"65,584,518"
France,2017,99.20%,0.27%,"65,584,518"
France,2015,99.20%,0.50%,"65,584,518"
France,2010,99.20%,0.57%,"65,584,518"
France,2005,99.20%,0.70%,"65,584,518"
France,2000,99.20%,0.42%,"65,584,518"
France,1995,99.20%,0.40%,"65,584,518"
France,1990,99.20%,0.51%,"65,584,518"
France,1985,99.20%,0.51%,"65,584,518"
France,1980,99.20%,0.44%,"65,584,518"
France,1975,99.20%,0.75%,"65,584,518"
France,1970,99.20%,0.81%,"65,584,518"
France,1965,99.20%,1.31%,"65,584,518"
France,1960,99.20%,1.02%,"65,584,518"
France,1955,99.20%,0.74%,"65,584,518"
Lebanon,2022,157.81%,-0.40%,"6,684,849"
Lebanon,2021,157.81%,0.16%,"6,684,849"
Lebanon,2020,157.81%,-0.44%,"6,684,849"
Italy,2022,133.43%,-0.14%,"60,262,770"
Italy,2021,133.43%,-0.10%,"60,262,770"
Lebanon,2019,157.81%,-0.05%,"6,684,849"
Lebanon,2018,157.81%,0.59%,"6,684,849"
Lebanon,2017,157.81%,1.57%,"6,684,849"
Lebanon,2015,157.81%,5.69%,"6,684,849"
Lebanon,2010,157.81%,1.06%,"6,684,849"
Sudan,2022,177.87%,2.42%,
Sudan,2021,177.87%,2.42%,
Sudan,2020,177.87%,2.42%,
Venezuela,2022,214.45%,-0.09%,"29,266,991"
Venezuela,2021,214.45%,-0.78%,"29,266,991"
Venezuela,2020,214.45%,-0.28%,"29,266,991"
Jordan,2022,94.83%,1.03%,"10,300,869"
Jordan,2021,94.83%,1.45%,"10,300,869"
Italy,2020,133.43%,-0.15%,"60,262,770"
Italy,2019,133.43%,-0.13%,"60,262,770"
Italy,2018,133.43%,-0.08%,"60,262,770"
Italy,2017,133.43%,0.02%,"60,262,770"
Lebanon,2005,157.81%,4.10%,"6,684,849"
Lebanon,2000,157.81%,1.72%,"6,684,849"
Lebanon,1995,157.81%,4.71%,"6,684,849"
Lebanon,1990,157.81%,1.11%,"6,684,849"
Lebanon,1985,157.81%,0.48%,"6,684,849"
Lebanon,1980,157.81%,0.10%,"6,684,849"
Lebanon,1975,157.81%,2.31%,"6,684,849"
Sudan,2019,177.87%,2.42%,
Sudan,2018,177.87%,2.42%,
Sudan,2017,177.87%,2.42%,
Sudan,2015,177.87%,2.40%,
Venezuela,2019,214.45%,-1.29%,"29,266,991"
Venezuela,2018,214.45%,-1.75%,"29,266,991"
Venezuela,2017,214.45%,-1.50%,"29,266,991"
Venezuela,2015,214.45%,1.13%,"29,266,991"
Belgium,2022,99.57%,0.43%,"11,668,278"
Jordan,2020,94.83%,1.00%,"10,300,869"
Jordan,2019,94.83%,1.37%,"10,300,869"
Jordan,2018,94.83%,1.83%,"10,300,869"
Jordan,2017,94.83%,2.42%,"10,300,869"
Jordan,2015,94.83%,5.00%,"10,300,869"
Jordan,2010,94.83%,4.72%,"10,300,869"
Italy,2015,133.43%,0.42%,"60,262,770"
Italy,2010,133.43%,0.36%,"60,262,770"
Italy,2005,133.43%,0.55%,"60,262,770"
Italy,2000,133.43%,-0.17%,"60,262,770"
Italy,1995,133.43%,0.04%,"60,262,770"
Italy,1990,133.43%,0.04%,"60,262,770"
Italy,1985,133.43%,0.21%,"60,262,770"
Italy,1980,133.43%,0.39%,"60,262,770"
Italy,1975,133.43%,0.64%,"60,262,770"
Lebanon,1970,157.81%,1.89%,"6,684,849"
Lebanon,1965,157.81%,3.00%,"6,684,849"
Lebanon,1960,157.81%,3.33%,"6,684,849"
Lebanon,1955,157.81%,2.80%,"6,684,849"
Sudan,2010,177.87%,2.22%,
Sudan,2005,177.87%,2.56%,
Sudan,2000,177.87%,2.51%,
Sudan,1995,177.87%,3.64%,
Sudan,1990,177.87%,3.20%,
Venezuela,2010,214.45%,1.47%,"29,266,991"
Venezuela,2005,214.45%,1.79%,"29,266,991"
Venezuela,2000,214.45%,1.98%,"29,266,991"
Venezuela,1995,214.45%,2.24%,"29,266,991"
Venezuela,1990,214.45%,2.54%,"29,266,991"
Belgium,2021,99.57%,0.48%,"11,668,278"
Belgium,2020,99.57%,0.44%,"11,668,278"
Belgium,2019,99.57%,0.50%,"11,668,278"
Belgium,2018,99.57%,0.55%,"11,668,278"
Belgium,2017,99.57%,0.57%,"11,668,278"
Belgium,2015,99.57%,0.63%,"11,668,278"
Belgium,2010,99.57%,0.73%,"11,668,278"
Belgium,2005,99.57%,0.51%,"11,668,278"
Greece,2022,174.15%,-0.48%,"10,316,637"
Greece,2021,174.15%,-0.46%,"10,316,637"
Jordan,2005,94.83%,2.39%,"10,300,869"
Jordan,2000,94.83%,2.23%,"10,300,869"
Jordan,1995,94.83%,5.17%,"10,300,869"
Jordan,1990,94.83%,4.22%,"10,300,869"
Jordan,1985,94.83%,4.05%,"10,300,869"
Spain,2022,95.96%,0.03%,"46,719,142"
Italy,1970,133.43%,0.70%,"60,262,770"
Italy,1965,133.43%,0.78%,"60,262,770"
Italy,1960,133.43%,0.56%,"60,262,770"
Italy,1955,133.43%,0.73%,"60,262,770"
Sudan,1985,177.87%,3.48%,
Sudan,1980,177.87%,3.62%,
Sudan,1975,177.87%,3.39%,
Sudan,1970,177.87%,3.23%,
Sudan,1965,177.87%,3.06%,
Sudan,1960,177.87%,2.87%,
Sudan,1955,177.87%,2.70%,
Venezuela,1985,214.45%,2.67%,"29,266,991"
Venezuela,1980,214.45%,2.85%,"29,266,991"
Venezuela,1975,214.45%,2.97%,"29,266,991"
Venezuela,1970,214.45%,3.29%,"29,266,991"
Venezuela,1965,214.45%,3.55%,"29,266,991"
Venezuela,1960,214.45%,3.84%,"29,266,991"
Belgium,2000,99.57%,0.19%,"11,668,278"
Belgium,1995,99.57%,0.36%,"11,668,278"
Belgium,1990,99.57%,0.18%,"11,668,278"
Belgium,1985,99.57%,0.10%,"11,668,278"
Belgium,1980,99.57%,0.20%,"11,668,278"
Belgium,1975,99.57%,0.29%,"11,668,278"
Greece,2020,174.15%,-0.48%,"10,316,637"
Greece,2019,174.15%,-0.46%,"10,316,637"
Greece,2018,174.15%,-0.45%,"10,316,637"
Greece,2017,174.15%,-0.43%,"10,316,637"
Greece,2015,174.15%,-0.42%,"10,316,637"
Greece,2010,174.15%,-0.61%,"10,316,637"
Jordan,1980,94.83%,2.85%,"10,300,869"
Jordan,1975,94.83%,3.72%,"10,300,869"
Jordan,1970,94.83%,7.96%,"10,300,869"
Jordan,1965,94.83%,4.69%,"10,300,869"
Jordan,1960,94.83%,6.44%,"10,300,869"
Jordan,1955,94.83%,7.25%,"10,300,869"
Spain,2021,95.96%,0.05%,"46,719,142"
Spain,2020,95.96%,0.04%,"46,719,142"
Spain,2019,95.96%,0.09%,"46,719,142"
Spain,2018,95.96%,0.10%,"46,719,142"
Spain,2017,95.96%,0.03%,"46,719,142"
Spain,2015,95.96%,-0.11%,"46,719,142"
Spain,2010,95.96%,1.29%,"46,719,142"
Bahrain,2022,100.19%,3.61%,"1,783,983"
Bahrain,2021,100.19%,4.16%,"1,783,983"
Bahrain,2020,100.19%,3.68%,"1,783,983"
Cyprus,2022,101.04%,0.73%,"1,223,387"
Cyprus,2021,101.04%,0.76%,"1,223,387"
Cyprus,2020,101.04%,0.73%,"1,223,387"
Bhutan,2022,103.85%,1.11%,"787,941"
Bhutan,2021,103.85%,1.15%,"787,941"
Singapore,2022,109.37%,0.81%,"5,943,546"
Singapore,2021,109.37%,0.84%,"5,943,546"
Singapore,2020,109.37%,0.79%,"5,943,546"
Singapore,2019,109.37%,0.81%,"5,943,546"
Venezuela,1955,214.45%,4.23%,"29,266,991"
United States,2022,106.70%,0.59%,"334,805,269"
Belgium,1970,99.57%,0.40%,"11,668,278"
Belgium,1965,99.57%,0.60%,"11,668,278"
Belgium,1960,99.57%,0.62%,"11,668,278"
Belgium,1955,99.57%,0.57%,"11,668,278"
Barbados,2022,117.27%,0.13%,"288,023"
Barbados,2021,117.27%,0.13%,"288,023"
Barbados,2020,117.27%,0.12%,"288,023"
Barbados,2019,117.27%,0.13%,"288,023"
Greece,2005,174.15%,0.26%,"10,316,637"
Greece,2000,174.15%,0.62%,"10,316,637"
Greece,1995,174.15%,1.00%,"10,316,637"
Greece,1990,174.15%,0.51%,"10,316,637"
Greece,1985,174.15%,0.70%,"10,316,637"
Greece,1980,174.15%,1.32%,"10,316,637"
Greece,1975,174.15%,0.80%,"10,316,637"
Romania,2022,37.99%,-0.64%,"19,031,335"
Romania,2021,37.99%,-0.69%,"19,031,335"
Spain,2005,95.96%,1.52%,"46,719,142"
Spain,2000,95.96%,0.52%,"46,719,142"
Spain,1995,95.96%,0.30%,"46,719,142"
Spain,1990,95.96%,0.24%,"46,719,142"
Spain,1985,95.96%,0.54%,"46,719,142"
Spain,1980,95.96%,0.99%,"46,719,142"
Spain,1975,95.96%,1.15%,"46,719,142"
Bahrain,2019,100.19%,4.57%,"1,783,983"
Bahrain,2018,100.19%,5.04%,"1,783,983"
Bahrain,2017,100.19%,4.79%,"1,783,983"
Bahrain,2015,100.19%,2.03%,"1,783,983"
Bahrain,2010,100.19%,6.89%,"1,783,983"
Bahrain,2005,100.19%,5.99%,"1,783,983"
Bahrain,2000,100.19%,3.35%,"1,783,983"
Croatia,2022,70.73%,-0.60%,"4,059,286"
Croatia,2021,70.73%,-0.61%,"4,059,286"
Croatia,2020,70.73%,-0.61%,"4,059,286"
Cyprus,2019,101.04%,0.78%,"1,223,387"
Cyprus,2018,101.04%,0.81%,"1,223,387"
Cyprus,2017,101.04%,0.81%,"1,223,387"
Cyprus,2015,101.04%,0.85%,"1,223,387"
Cyprus,2010,101.04%,1.60%,"1,223,387"
Cyprus,2005,101.04%,1.73%,"1,223,387"
Cyprus,2000,101.04%,1.98%,"1,223,387"
Bhutan,2020,103.85%,1.12%,"787,941"
Bhutan,2019,103.85%,1.15%,"787,941"
Bhutan,2018,103.85%,1.18%,"787,941"
Bhutan,2017,103.85%,1.20%,"787,941"
Bhutan,2015,103.85%,1.21%,"787,941"
Bhutan,2010,103.85%,1.11%,"787,941"
Bhutan,2005,103.85%,1.88%,"787,941"
Singapore,2018,109.37%,0.87%,"5,943,546"
Singapore,2017,109.37%,0.96%,"5,943,546"
Singapore,2015,109.37%,1.74%,"5,943,546"
Singapore,2010,109.37%,3.76%,"5,943,546"
Singapore,2005,109.37%,1.15%,"5,943,546"
Singapore,2000,109.37%,2.70%,"5,943,546"
Singapore,1995,109.37%,3.19%,"5,943,546"
Singapore,1990,109.37%,2.18%,"5,943,546"
Singapore,1985,109.37%,2.33%,"5,943,546"
United States,2021,106.70%,0.61%,"334,805,269"
United States,2020,106.70%,0.59%,"334,805,269"
United States,2019,106.70%,0.60%,"334,805,269"
United States,2018,106.70%,0.62%,"334,805,269"
United States,2017,106.70%,0.64%,"334,805,269"
United States,2015,106.70%,0.76%,"334,805,269"
United States,2010,106.70%,0.93%,"334,805,269"
United States,2005,106.70%,0.93%,"334,805,269"
Barbados,2018,117.27%,0.14%,"288,023"
Barbados,2017,117.27%,0.15%,"288,023"
Barbados,2015,117.27%,0.22%,"288,023"
Barbados,2010,117.27%,0.42%,"288,023"
Barbados,2005,117.27%,0.35%,"288,023"
Barbados,2000,117.27%,0.41%,"288,023"
Barbados,1995,117.27%,0.38%,"288,023"
Greece,1970,174.15%,0.49%,"10,316,637"
Greece,1965,174.15%,0.43%,"10,316,637"
Greece,1960,174.15%,0.65%,"10,316,637"
Greece,1955,174.15%,0.88%,"10,316,637"
Romania,2020,37.99%,-0.66%,"19,031,335"
Romania,2019,37.99%,-0.73%,"19,031,335"
Romania,2018,37.99%,-0.75%,"19,031,335"
Romania,2017,37.99%,-0.72%,"19,031,335"
Romania,2015,37.99%,-0.54%,"19,031,335"
Romania,2010,37.99%,-0.90%,"19,031,335"
Romania,2005,37.99%,-0.66%,"19,031,335"
Romania,2000,37.99%,-0.73%,"19,031,335"
Romania,1995,37.99%,-0.45%,"19,031,335"
Spain,1970,95.96%,1.06%,"46,719,142"
Spain,1965,95.96%,1.12%,"46,719,142"
Spain,1960,95.96%,0.92%,"46,719,142"
Spain,1955,95.96%,0.69%,"46,719,142"
Bahrain,1995,100.19%,2.60%,"1,783,983"
Bahrain,1990,100.19%,3.41%,"1,783,983"
Bahrain,1985,100.19%,3.11%,"1,783,983"
Bahrain,1980,100.19%,6.19%,"1,783,983"
Bahrain,1975,100.19%,4.63%,"1,783,983"
Croatia,2019,70.73%,-0.63%,"4,059,286"
Croatia,2018,70.73%,-0.63%,"4,059,286"
Croatia,2017,70.73%,-0.61%,"4,059,286"
Cyprus,1995,101.04%,2.21%,"1,223,387"
Cyprus,1990,101.04%,1.73%,"1,223,387"
Cyprus,1985,101.04%,0.53%,"1,223,387"
Bhutan,2000,103.85%,2.03%,"787,941"
Bhutan,1995,103.85%,0.14%,"787,941"
Bhutan,1990,103.85%,2.71%,"787,941"
Bhutan,1985,103.85%,2.67%,"787,941"
