title,year,genre,public_permission,duration_hr,duration_min,noted_imdb,movie_poster,play_trailer,movie_url
Zombieland,2009,Action,R,1,28,7.6,https://www.imdb.com/title/tt1156398/mediaviewer/rm1675069696/?ref_=tt_ov_i,https://www.imdb.com/video/vi179635481?playlistId=tt1156398&ref_=tt_ov_vi,https://www.imdb.com/title/tt1156398/
Fight Club,1999,Drama,R,2,19,8.8,https://www.imdb.com/title/tt0137523/mediaviewer/rm2110056193/?ref_=tt_ov_i,https://www.imdb.com/video/vi781228825?playlistId=tt0137523&ref_=tt_ov_vi,https://www.imdb.com/title/tt0137523/
The Dark Knight Rises,2012,Action,PG-13,2,44,8.4,https://www.imdb.com/title/tt1345836/mediaviewer/rm834516224/?ref_=tt_ov_i,https://www.imdb.com/video/vi144884505?playlistId=tt1345836&ref_=tt_ov_vi,https://www.imdb.com/title/tt1345836/
Blazing Saddles,1974,Comedy,R,1,33,7.7,https://www.imdb.com/title/tt0071230/mediaviewer/rm2174508800/?ref_=tt_ov_i,https://www.imdb.com/video/vi4038721817?playlistId=tt0071230&ref_=tt_ov_vi,https://www.imdb.com/title/tt0071230/
The Goonies,1985,Adventure,PG,1,54,7.7,https://www.imdb.com/title/tt0089218/mediaviewer/rm620367360/?ref_=tt_ov_i,https://www.imdb.com/video/vi316781849?playlistId=tt0089218&ref_=tt_ov_vi,https://www.imdb.com/title/tt0089218/
The Batman,2022,Action,PG-13,2,56,8.0,https://www.imdb.com/title/tt1877830/mediaviewer/rm2474894849/?ref_=tt_ov_i,https://www.imdb.com/video/vi3215114777?playlistId=tt1877830&ref_=tt_ov_vi,https://www.imdb.com/title/tt1877830/
Inception,2010,Action,PG-13,2,28,8.8,https://www.imdb.com/title/tt1375666/mediaviewer/rm3426651392/?ref_=tt_ov_i,https://www.imdb.com/video/vi2959588889?playlistId=tt1375666&ref_=tt_ov_vi,https://www.imdb.com/title/tt1375666/
Blade Runner 2049,2017,Action,R,2,44,8.0,https://www.imdb.com/title/tt1856101/mediaviewer/rm2677875712/?ref_=tt_ov_i,https://www.imdb.com/video/vi3362371865?playlistId=tt1856101&ref_=tt_ov_vi,https://www.imdb.com/title/tt1856101/
Verdens verste menneske,2021,Comedy,R,2,8,7.9,https://www.imdb.com/title/tt10370710/mediaviewer/rm2792219649/?ref_=tt_ov_i,https://www.imdb.com/video/vi2032321305?playlistId=tt10370710&ref_=tt_ov_vi,https://www.imdb.com/title/tt10370710/
Batman Begins,2005,Action,PG-13,2,20,8.2,https://www.imdb.com/title/tt0372784/mediaviewer/rm2827249920/?ref_=tt_ov_i,https://www.imdb.com/video/vi362988313?playlistId=tt0372784&ref_=tt_ov_vi,https://www.imdb.com/title/tt0372784/
Titanic,1997,Drama,PG-13,3,14,7.9,https://www.imdb.com/title/tt0120338/mediaviewer/rm2647458304/?ref_=tt_ov_i,https://www.imdb.com/video/vi907189785?playlistId=tt0120338&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120338/
Once Upon a Time in... Hollywood,2019,Comedy,R,2,41,7.6,https://www.imdb.com/title/tt7131622/mediaviewer/rm1947703297/?ref_=tt_ov_i,https://www.imdb.com/video/vi1385741849?playlistId=tt7131622&ref_=tt_ov_vi,https://www.imdb.com/title/tt7131622/
Harry Potter and the Sorcerer's Stone,2001,Adventure,PG,2,32,7.6,https://www.imdb.com/title/tt0241527/mediaviewer/rm683213568/?ref_=tt_ov_i,https://www.imdb.com/video/vi3115057433?playlistId=tt0241527&ref_=tt_ov_vi,https://www.imdb.com/title/tt0241527/
Joker,2019,Crime,R,2,2,8.4,https://www.imdb.com/title/tt7286456/mediaviewer/rm3353122305/?ref_=tt_ov_i,https://www.imdb.com/video/vi1723318041?playlistId=tt7286456&ref_=tt_ov_vi,https://www.imdb.com/title/tt7286456/
Zack Snyder's Justice League,2021,Action,R,4,2,8.0,https://www.imdb.com/title/tt12361974/mediaviewer/rm323864577/?ref_=tt_ov_i,https://www.imdb.com/video/vi2343551001?playlistId=tt12361974&ref_=tt_ov_vi,https://www.imdb.com/title/tt12361974/
The Wolf of Wall Street,2013,Biography,R,3,,8.2,https://www.imdb.com/title/tt0993846/mediaviewer/rm2842940160/?ref_=tt_ov_i,https://www.imdb.com/video/vi2312218649?playlistId=tt0993846&ref_=tt_ov_vi,https://www.imdb.com/title/tt0993846/
Taxi Driver,1976,Crime,R,1,54,8.3,https://www.imdb.com/title/tt0075314/mediaviewer/rm3951714048/?ref_=tt_ov_i,https://www.imdb.com/video/vi474987289?playlistId=tt0075314&ref_=tt_ov_vi,https://www.imdb.com/title/tt0075314/
Gone Girl,2014,Drama,R,2,29,8.1,https://www.imdb.com/title/tt2267998/mediaviewer/rm2766521344/?ref_=tt_ov_i,https://www.imdb.com/video/vi1298770969?playlistId=tt2267998&ref_=tt_ov_vi,https://www.imdb.com/title/tt2267998/
Saving Private Ryan,1998,Drama,R,2,49,8.6,https://www.imdb.com/title/tt0120815/mediaviewer/rm1924732160/?ref_=tt_ov_i,https://www.imdb.com/video/vi1701906201?playlistId=tt0120815&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120815/
Inglourious Basterds,2009,Adventure,R,2,33,8.3,https://www.imdb.com/title/tt0361748/mediaviewer/rm3163035648/?ref_=tt_ov_i,https://www.imdb.com/video/vi3738173977?playlistId=tt0361748&ref_=tt_ov_vi,https://www.imdb.com/title/tt0361748/
Se7en,1995,Crime,R,2,7,8.6,https://www.imdb.com/title/tt0114369/mediaviewer/rm3116368640/?ref_=tt_ov_i,https://www.imdb.com/video/vi2508831257?playlistId=tt0114369&ref_=tt_ov_vi,https://www.imdb.com/title/tt0114369/
The Lord of the Rings: The Fellowship of the Ring,2001,Action,PG-13,2,58,8.8,https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976/?ref_=tt_ov_i,https://www.imdb.com/video/vi684573465?playlistId=tt0120737&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120737/
Django Unchained,2012,Drama,R,2,45,8.4,https://www.imdb.com/title/tt1853728/mediaviewer/rm958180352/?ref_=tt_ov_i,https://www.imdb.com/video/vi2291574553?playlistId=tt1853728&ref_=tt_ov_vi,https://www.imdb.com/title/tt1853728/
Mad Max: Fury Road,2015,Action,R,2,,8.1,https://www.imdb.com/title/tt1392190/mediaviewer/rm3064749568/?ref_=tt_ov_i,https://www.imdb.com/video/vi3047862297?playlistId=tt1392190&ref_=tt_ov_vi,https://www.imdb.com/title/tt1392190/
Alien,1979,Horror,R,1,57,8.5,https://www.imdb.com/title/tt0078748/mediaviewer/rm2032147969/?ref_=tt_ov_i,https://www.imdb.com/video/vi1497801241?playlistId=tt0078748&ref_=tt_ov_vi,https://www.imdb.com/title/tt0078748/
Gisaengchung,2019,Comedy,R,2,12,8.5,https://www.imdb.com/title/tt6751668/mediaviewer/rm3194916865/?ref_=tt_ov_i,https://www.imdb.com/video/vi1015463705?playlistId=tt6751668&ref_=tt_ov_vi,https://www.imdb.com/title/tt6751668/
Prisoners,2013,Crime,R,2,33,8.1,https://www.imdb.com/title/tt1392214/mediaviewer/rm1033886464/?ref_=tt_ov_i,https://www.imdb.com/video/vi3294275865?playlistId=tt1392214&ref_=tt_ov_vi,https://www.imdb.com/title/tt1392214/
1917,2019,Action,R,1,59,8.2,https://www.imdb.com/title/tt8579674/mediaviewer/rm144738817/?ref_=tt_ov_i,https://www.imdb.com/video/vi4095655705?playlistId=tt8579674&ref_=tt_ov_vi,https://www.imdb.com/title/tt8579674/
Avengers: Infinity War,2018,Action,PG-13,2,29,8.4,https://www.imdb.com/title/tt4154756/mediaviewer/rm4044245504/?ref_=tt_ov_i,https://www.imdb.com/video/vi528070681?playlistId=tt4154756&ref_=tt_ov_vi,https://www.imdb.com/title/tt4154756/
Schindler's List,1993,Biography,R,3,15,9.0,https://www.imdb.com/title/tt0108052/mediaviewer/rm1610023168/?ref_=tt_ov_i,https://www.imdb.com/video/vi1158527769?playlistId=tt0108052&ref_=tt_ov_vi,https://www.imdb.com/title/tt0108052/
Pulp Fiction,1994,Crime,R,2,34,8.9,https://www.imdb.com/title/tt0110912/mediaviewer/rm1959546112/?ref_=tt_ov_i,https://www.imdb.com/video/vi2620371481?playlistId=tt0110912&ref_=tt_ov_vi,https://www.imdb.com/title/tt0110912/
Knives Out,2019,Comedy,PG-13,2,10,7.9,https://www.imdb.com/title/tt8946378/mediaviewer/rm2569376769/?ref_=tt_ov_i,https://www.imdb.com/video/vi2464857881?playlistId=tt8946378&ref_=tt_ov_vi,https://www.imdb.com/title/tt8946378/
Avatar,2009,Action,PG-13,2,42,7.8,https://www.imdb.com/title/tt0499549/mediaviewer/rm2864126209/?ref_=tt_ov_i,https://www.imdb.com/video/vi531039513?playlistId=tt0499549&ref_=tt_ov_vi,https://www.imdb.com/title/tt0499549/
Jurassic Park,1993,Action,PG-13,2,7,8.2,https://www.imdb.com/title/tt0107290/mediaviewer/rm3913805824/?ref_=tt_ov_i,https://www.imdb.com/video/vi177055257?playlistId=tt0107290&ref_=tt_ov_vi,https://www.imdb.com/title/tt0107290/
Interstellar,2014,Adventure,PG-13,2,49,8.6,https://www.imdb.com/title/tt0816692/mediaviewer/rm4043724800/?ref_=tt_ov_i,https://www.imdb.com/video/vi1586278169?playlistId=tt0816692&ref_=tt_ov_vi,https://www.imdb.com/title/tt0816692/
