title,year,genre,public_permission,duration_hr,duration_min,noted_imdb,movie_poster,play_trailer,movie_url
The Shawshank Redemption,1994,Drama,R,2,22,9.3,https://www.imdb.com/title/tt0111161/mediaviewer/rm10105600/?ref_=tt_ov_i,https://www.imdb.com/video/vi3877612057?playlistId=tt0111161&ref_=tt_ov_vi,https://www.imdb.com/title/tt0111161/
Modern Times,1936,Comedy,G,1,27,8.5,https://www.imdb.com/title/tt0027977/mediaviewer/rm1482701312/?ref_=tt_ov_i,https://www.imdb.com/video/vi1756676633?playlistId=tt0027977&ref_=tt_ov_vi,https://www.imdb.com/title/tt0027977/
Casablanca,1942,Drama,PG,1,42,8.5,https://www.imdb.com/title/tt0034583/mediaviewer/rm1220089088/?ref_=tt_ov_i,https://www.imdb.com/video/vi6095897?playlistId=tt0034583&ref_=tt_ov_vi,https://www.imdb.com/title/tt0034583/
The Lion King,1994,Animation,G,1,28,8.5,https://www.imdb.com/title/tt0110357/mediaviewer/rm3272938240/?ref_=tt_ov_i,https://www.imdb.com/video/vi3764362265?playlistId=tt0110357&ref_=tt_ov_vi,https://www.imdb.com/title/tt0110357/
Nuovo Cinema Paradiso,1988,Drama,PG,2,35,8.5,https://www.imdb.com/title/tt0095765/mediaviewer/rm968560128/?ref_=tt_ov_i,https://www.imdb.com/video/vi2800655897?playlistId=tt0095765&ref_=tt_ov_vi,https://www.imdb.com/title/tt0095765/
Hotaru no haka,1988,Animation,Not Rated,1,29,8.5,https://www.imdb.com/title/tt0095327/mediaviewer/rm2344616448/?ref_=tt_ov_i,https://www.imdb.com/video/vi1377679385?playlistId=tt0095327&ref_=tt_ov_vi,https://www.imdb.com/title/tt0095327/
Léon,1994,Action,R,1,50,8.5,https://www.imdb.com/title/tt0110413/mediaviewer/rm72749056/?ref_=tt_ov_i,https://www.imdb.com/video/vi2744254745?playlistId=tt0110413&ref_=tt_ov_vi,https://www.imdb.com/title/tt0110413/
Apocalypse Now,1979,Drama,R,2,27,8.5,https://www.imdb.com/title/tt0078788/mediaviewer/rm1007713024/?ref_=tt_ov_i,https://www.imdb.com/video/vi3543773721?playlistId=tt0078788&ref_=tt_ov_vi,https://www.imdb.com/title/tt0078788/
American History X,1998,Drama,R,1,59,8.5,https://www.imdb.com/title/tt0120586/mediaviewer/rm15519489/?ref_=tt_ov_i,https://www.imdb.com/video/vi854001177?playlistId=tt0120586&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120586/
Gladiator,2000,Action,R,2,35,8.5,https://www.imdb.com/title/tt0172495/mediaviewer/rm2442542592/?ref_=tt_ov_i,https://www.imdb.com/video/vi2628367897?playlistId=tt0172495&ref_=tt_ov_vi,https://www.imdb.com/title/tt0172495/
The Usual Suspects,1995,Crime,R,1,46,8.5,https://www.imdb.com/title/tt0114814/mediaviewer/rm1975465472/?ref_=tt_ov_i,https://www.imdb.com/video/vi2717188377?playlistId=tt0114814&ref_=tt_ov_vi,https://www.imdb.com/title/tt0114814/
The Departed,2006,Crime,R,2,31,8.5,https://www.imdb.com/title/tt0407887/mediaviewer/rm981113088/?ref_=tt_ov_i,https://www.imdb.com/video/vi2760573209?playlistId=tt0407887&ref_=tt_ov_vi,https://www.imdb.com/title/tt0407887/
The Prestige,2006,Drama,PG-13,2,10,8.5,https://www.imdb.com/title/tt0482571/mediaviewer/rm4031813632/?ref_=tt_ov_i,https://www.imdb.com/video/vi2885334553?playlistId=tt0482571&ref_=tt_ov_vi,https://www.imdb.com/title/tt0482571/
The Pianist,2002,Biography,R,2,30,8.5,https://www.imdb.com/title/tt0253474/mediaviewer/rm902038272/?ref_=tt_ov_i,https://www.imdb.com/video/vi988938521?playlistId=tt0253474&ref_=tt_ov_vi,https://www.imdb.com/title/tt0253474/
Intouchables,2011,Biography,R,1,52,8.5,https://www.imdb.com/title/tt1675434/mediaviewer/rm1305720576/?ref_=tt_ov_i,https://www.imdb.com/video/vi59285529?playlistId=tt1675434&ref_=tt_ov_vi,https://www.imdb.com/title/tt1675434/
Whiplash,2014,Drama,R,1,46,8.5,https://www.imdb.com/title/tt2582802/mediaviewer/rm1048725760/?ref_=tt_ov_i,https://www.imdb.com/video/vi4006456345?playlistId=tt2582802&ref_=tt_ov_vi,https://www.imdb.com/title/tt2582802/
Das Leben der Anderen,2006,Drama,R,2,17,8.4,https://www.imdb.com/title/tt0405094/mediaviewer/rm2788630273/?ref_=tt_ov_i,https://www.imdb.com/title/tt0405094/,https://www.imdb.com/title/tt0405094/
The Dark Knight Rises,2012,Action,PG-13,2,44,8.4,https://www.imdb.com/title/tt1345836/mediaviewer/rm834516224/?ref_=tt_ov_i,https://www.imdb.com/video/vi144884505?playlistId=tt1345836&ref_=tt_ov_vi,https://www.imdb.com/title/tt1345836/
