country,year,population,yearly_%_change,yearly_change,migrants(net),median_age,fetility_rate,density,urban_pop_%,urban_pop,country_share_of_world_pop,world_pop,China_global_rank
China,1955,"612,241,554",2.00 %,"11,564,456","-51,205",22.2,6.11,65,13.8 %,"84,639,825",22.08 %,"2,773,019,936",1
Vietnam,1955,"28,147,443",2.56 %,"667,508",0,23.6,5.40,91,13.1 %,"3,685,807",1.02 %,"2,773,019,936",
France,1955,"43,411,367",0.74 %,"315,497","42,897",32.9,2.76,79,58.3 %,"25,317,338",1.57 %,"2,773,019,936",
Egypt,1955,"23,223,124",2.57 %,"554,229","-10,020",20.7,6.75,23,35.3 %,"8,194,766",0.84 %,"2,773,019,936",
Turkey,1955,"24,270,600",2.54 %,"572,440","-3,800",19.8,6.69,32,28.6 %,"6,929,929",0.88 %,"2,773,019,936",
Germany,1955,"71,537,459",0.45 %,"314,243","-8,400",34.5,2.13,205,69.7 %,"49,855,283",2.58 %,"2,773,019,936",
DR Congo,1955,"13,517,513",2.10 %,"266,771",0,18.1,5.98,6,20.7 %,"2,791,904",0.49 %,"2,773,019,936",
United Kingdom,1955,"51,063,902",0.18 %,"89,578","-83,006",35.1,2.18,211,78.8 %,"40,241,373",1.84 %,"2,773,019,936",
Iran,1955,"19,294,127",2.42 %,"434,972",-218,20.9,6.91,12,30.6 %,"5,895,032",0.70 %,"2,773,019,936",
Thailand,1955,"23,711,132",2.74 %,"600,154",0,18.9,6.14,46,18.0 %,"4,277,639",0.86 %,"2,773,019,936",
Philippines,1955,"22,177,058",3.60 %,"719,314","-9,824",17.2,7.42,74,28.7 %,"6,365,919",0.80 %,"2,773,019,936",
Ethiopia,1955,"19,947,292",1.93 %,"363,852","-4,000",18.0,7.17,20,5.4 %,"1,085,996",0.72 %,"2,773,019,936",
Japan,1955,"89,018,257",1.46 %,"1,243,235",0,23.6,2.96,244,58.4 %,"52,005,319",3.21 %,"2,773,019,936",
Mexico,1955,"32,350,596",2.97 %,"881,185","-46,382",17.8,6.75,17,47.0 %,"15,220,256",1.17 %,"2,773,019,936",
